,ngram,FR_term_frequency,EN_term_frequency,delta
0,main,18672969,18927173,254204
1,population,16043438,15433654,609784
2,centre,15170128,14215362,954766
3,services,13671732,13835816,164084
4,prince,14036101,13553833,482268
5,relations,13165293,13362249,196956
6,date,13163807,12499495,664312
7,questions,12673489,12107288,566201
8,nation,10326111,10969993,643882
9,impossible,9712806,10691993,979187
10,decision,9692112,10559663,867551
11,passage,11298587,10523276,775311
12,image,9491510,9018973,472537
13,causes,8957412,8963824,6412
14,protection,8085063,8321898,236835
15,consequence,9061360,8280552,780808
16,resistance,8139596,8073994,65602
17,continue,7337870,7931723,593853
18,classes,7975395,7842594,132801
19,police,8165216,7718249,446967
20,doctrine,7359777,7640840,281063
21,absence,8556702,7631005,925697
22,actions,8038369,7451488,586881
23,institutions,7634463,7163942,470521
24,opposition,7986256,7112639,873617
25,effort,6678367,7044457,366090
26,details,6482478,6977498,495020
27,u,7321348,6927510,393838
28,interpretation,5882657,6673661,791004
29,definition,5626645,6605142,978497
30,theatre,7024888,6590141,434747
31,composition,6466606,6501995,35389
32,substance,5480428,6468899,988471
33,credit,6797863,6391273,406590
34,conference,6670180,6359008,311172
35,determine,6315969,6246391,69578
36,transport,6338218,6120679,217539
37,extreme,6008804,6078991,70187
38,attitude,5805425,5882291,76866
39,fortune,5591341,5801405,210064
40,notion,6598818,5772280,826538
41,silence,5829486,5726845,102641
42,grave,5699477,5656287,43190
43,maximum,5184039,5644593,460554
44,procedure,5633736,5641213,7477
45,von,5748264,5543448,204816
46,representation,6227490,5482258,745232
47,joseph,4691629,5412898,721269
48,plans,4442350,5363928,921578
49,instrument,4637791,5347459,709668
50,reduction,4657836,5298748,640912
51,impression,5854992,5268969,586023
52,intention,5678996,5236264,442732
53,resolution,4331218,5140604,809386
54,publication,5336075,5041201,294874
55,decisions,4797336,4943838,146502
56,imagination,4276903,4921775,644872
57,images,4855672,4875630,19958
58,tend,3882424,4842757,960333
59,hotel,4545699,4747466,201767
60,satisfaction,3893482,4696858,803376
61,canada,4223311,4612758,389447
62,opinions,3886105,4571791,685686
63,preparation,4026798,4534822,508024
64,institution,5400050,4481553,918497
65,depend,4191673,4470020,278347
66,berlin,4428094,4421848,6246
67,vice,5044149,4406404,637745
68,perspective,3869453,4379091,509638
69,supreme,4026315,4377730,351415
70,300,3740701,4369896,629195
71,instruments,3826562,4314519,487957
72,minimum,3712185,4244306,532121
73,phrase,3587908,4232532,644624
74,courage,4407467,4181237,226230
75,don,4818772,4131971,686801
76,extension,4340131,4104491,235640
77,1965,3153985,4075244,921259
78,discipline,3387072,4060082,673010
79,contribution,3701884,4032469,330585
80,1966,3044655,4028113,983458
81,succession,4272788,3987343,285445
82,industries,3653936,3949889,295953
83,cap,3030248,3926791,896543
84,volumes,3192307,3924601,732294
85,solutions,3249030,3912495,663465
86,affection,3254839,3869184,614345
87,500,4830166,3837269,992897
88,separation,3616878,3826422,209544
89,1964,2903631,3808134,904503
90,architecture,3081018,3796612,715594
91,situations,2972418,3783327,810909
92,theme,3235719,3780504,544785
93,occupation,3400699,3742986,342287
94,cabinet,4331598,3689025,642573
95,expedition,3406165,3681113,274948
96,instructions,2864814,3625454,760640
97,alliance,4269553,3584854,684699
98,profession,3878584,3578426,300158
99,arc,2791771,3567208,775437
100,considerations,3949809,3565626,384183
101,document,3515886,3559913,44027
102,evaluation,3217514,3550126,332612
103,1963,2812106,3544020,731914
104,princes,4257144,3529366,727778
105,perception,3417570,3501650,84080
106,xi,2827943,3494700,666757
107,lieutenant,3782150,3467703,314447
108,dimensions,4032894,3441113,591781
109,1962,3108287,3437531,329244
110,da,3389606,3427352,37746
111,divisions,2753382,3406909,653527
112,variations,4152614,3390135,762479
113,accident,3019113,3381223,362110
114,collective,3086869,3352042,265173
115,ut,2598836,3350250,751414
116,villages,3431035,3337209,93826
117,moments,2840990,3319258,478268
118,administrative,3383626,3311341,72285
119,masses,3566672,3282937,283735
120,xii,2529707,3281138,751431
121,substances,3440875,3264027,176848
122,1961,2719033,3245371,526338
123,1960,3268806,3241193,27613
124,ignorance,2502758,3204022,701264
125,session,2756803,3191401,434598
126,con,3955734,3182009,773725
127,sec,2288277,3171346,883069
128,integration,3039183,3158012,118829
129,quod,2346841,3138343,791502
130,centres,4032343,3130259,902084
131,conviction,2415194,3123746,708552
132,expressions,2393060,3101201,708141
133,400,2839459,3057113,217654
134,allies,3176334,3040817,135517
135,id,2530169,3017745,487576
136,saints,2391936,3001748,609812
137,prepare,3677626,2988629,688997
138,publications,2933700,2984954,51254
139,ha,2710266,2984462,274196
140,fragments,2201346,2970815,769469
141,taxes,2120986,2967815,846829
142,preface,2444461,2959000,514539
143,tension,3284254,2935658,348596
144,classification,2138223,2921958,783735
145,continent,2681296,2911113,229817
146,regiment,2589214,2910773,321559
147,1958,2915295,2903109,12186
148,traditions,2823187,2896957,73770
149,simon,2287083,2856204,569121
150,1959,2604075,2854456,250381
151,invasion,1882117,2835241,953124
152,intense,1878127,2825852,947725
153,baron,3400003,2817300,582703
154,1957,2381868,2782542,400674
155,ll,2509331,2776874,267543
156,associations,3762871,2772667,990204
157,xiii,2419811,2754175,334364
158,contributions,2281694,2747555,465861
159,communications,3037041,2742678,294363
160,muscles,2348433,2737365,388932
161,influences,1861793,2735757,873964
162,1956,2425219,2718172,292953
163,catalogue,1896961,2700868,803907
164,ere,2189309,2671874,482565
165,perfection,2541220,2649043,107823
166,cure,3599693,2638510,961183
167,gene,1924369,2634017,709648
168,surfaces,2194249,2621129,426880
169,programmes,3227040,2617220,609820
170,modes,3071976,2604303,467673
171,1950,2554030,2575685,21655
172,presentation,3250157,2575329,674828
173,admiration,2215509,2561843,346334
174,revelation,1606434,2551421,944987
175,generations,2288750,2528433,239683
176,reception,2452877,2520053,67176
177,ambition,2581103,2516155,64948
178,preference,2761199,2514807,246392
179,transmission,2542865,2496351,46514
180,emotion,2312416,2492932,180516
181,1955,2276382,2489629,213247
182,compensation,1674050,2488644,814594
183,dose,1866389,2484677,618288
184,privilege,2920229,2469742,450487
185,roger,1771045,2437584,666539
186,daniel,1605432,2421598,816166
187,roles,1537870,2414285,876415
188,invention,2577007,2407107,169900
189,er,1468852,2406409,937557
190,dialogue,2486438,2403826,82612
191,progressive,1712001,2398335,686334
192,li,1998529,2396091,397562
193,1948,1991827,2392266,400439
194,1954,2265103,2392064,126961
195,lo,2648673,2387888,260785
196,discussions,2444594,2385539,59055
197,1945,2323774,2384106,60332
198,stations,1909871,2370267,460396
199,engage,2694042,2368645,325397
200,notions,3034671,2356883,677788
201,bronze,1812186,2353068,540882
202,1953,2064407,2322466,258059
203,00,2855573,2320668,534905
204,xv,2303572,2298139,5433
205,privileges,2713199,2288655,424544
206,doctrines,2246472,2288442,41970
207,corruption,1511901,2285330,773429
208,1939,1944808,2284034,339226
209,1952,1975334,2262639,287305
210,applicable,2200557,2255549,54992
211,albert,2868277,2253179,615098
212,alfred,1262505,2240054,977549
213,1949,1870798,2231648,360850
214,marx,1816689,2224888,408199
215,com,1717947,2224004,506057
216,admission,1725158,2222262,497104
217,crimes,2697781,2215042,482739
218,xvi,2899923,2213638,686285
219,res,1211219,2193490,982271
220,justification,1374919,2187479,812560
221,indication,2253634,2168838,84796
222,verbal,2863510,2164264,699246
223,multitude,2037612,2162113,124501
224,innovation,1435833,2161819,725986
225,fibres,2208391,2157398,50993
226,proportions,2641032,2130247,510785
227,regret,1521045,2129250,608205
228,sensation,2270411,2128435,141976
229,1951,1890567,2126193,235626
230,1914,2281923,2121636,160287
231,providence,1630503,2115134,484631
