Text;Difficulty
Je m'appelle Laure.;A1
Tu as passé une bonne journée.;A1
Je m'appelle Angélica Summer, j'ai 12 ans et je suis canadienne.;A1
"Mon père, Frank Summer, est mécanicien ; il adore les voitures anciennes et collectionne les voitures miniatures.";A1
"Ma mère s'appelle Emilie Summer ; elle est infirmière dans un hôpital non loin de notre maison.";A1
Nous avons déménagé en France, parce qu'elle a toujours aimé la culture de ce pays.;A1
La vie en France est très différente de celle au Canada.;A1
Ici, il fait toujours chaud.;A1
Chaque dimanche, nous allons à la magnifique plage de Biarritz et nous achetons des glaces après avoir nagé dans la mer.;A1
Les Français sont très sympathiques et accueillants.;A1
Nous parlons français lorsque nous sommes dehors, à l'école ou au marché.;A1
Cependant, nous continuons de parler anglais à la maison, car mes parents ne veulent pas que je perde ma langue natale.;A1
Bonjour Nicolas !;A1
Salut Franck !;A1
Comment vas-tu ?;A1
Je vais bien.;A1
Et toi ?;A1
Très bien !;A1
Tu es toujours étudiant ?;A1
Non, j’ai terminé mes études en juin dernier.;A1
Je suis informaticien.;A1
Et toi, tu es toujours cuisinier ?;A1
Oui, j’ai ouvert un restaurant à Lyon depuis six mois dans le centre ville.;A1
Quel type de cuisine proposes-tu ?;A1
Je propose des spécialités de la région lyonnaise.;A1
J’aimerai beaucoup venir et goûter tes recettes !;A1
Je serai ravi de t’accueillir.;A1
Quand souhaites-tu venir ?;A1
Samedi soir.;A1
Je viendrai dîner avec mon amie.;A1
Elle travaille dans le domaine de l’informatique aussi ?;A1
Non, elle est fleuriste.;A1
Elle s’appelle Paola, elle est italienne.;A1
J’ai hâte de la rencontrer.;A1
A samedi !;A1
Je m’appelle Jessica.;A1
Je suis une fille, je suis française et j’ai treize ans.;A1
Je vais à l’école à Nice, mais j’habite à Cagnes-Sur-Mer.;A1
J’ai deux frères.;A1
Le premier s’appelle Thomas, il a quatorze ans.;A1
Le second s’appelle Yann et il a neuf ans.;A1
Mon papa est italien et il est fleuriste.;A1
Ma mère est allemande et est avocate.;A1
Mes frères et moi parlons français, italien et allemand à la maison.;A1
Nous avons une grande maison avec un chien, un poisson et deux chats.;A1
Aujourd’hui, on est samedi, nous rendons visite à notre grand-mère.;A1
Elle a 84 ans et elle habite à Antibes.;A1
J’adore ma grand-mère, elle très gentille.;A1
Elle fait des bons gâteaux.;A1
Lundi, je retourne à l’école.;A1
Je suis contente, je vais voir Amélie.;A1
C’est ma meilleure amie.;A1
J’aime beaucoup l’école.;A1
Mes matières préférées sont le français et le sport.;A1
J’aime beaucoup lire et je nage très bien.;A1
Pierre est un jeune garçon de 14 ans.;A1
Il vit à Paris avec ses parents et sa petite sœur Julie, âgée de 8 ans.;A1
Le trajet ne dure que 20 minutes !;A1
Le week-end, Pierre aime passer du temps en famille.;A1
Le jour de la rentrée au collège, Pierre fait connaissance avec un nouvel élève de sa classe...;A1
Bonjour, ça va ?;A1
Comment t'appelles-tu ?;A1
Bonjour.;A1
Oui ça va.;A1
Je m'appelle Lucas.;A1
Les pommes sont rouges.;A1
Moi c'est Pierre.;A1
Bienvenue au collège Claude Debussy.;A1
Merci, c'est gentil.;A1
Tu viens d'où ?;A1
Je viens de province.;A1
Avant j'habitais à Limoges.;A1
Limoges ?;A1
C'est loin de Paris ça !;A1
Ça doit drôlement te changer d'être ici, en Région Parisienne ?;A1
C'est clair.;A1
Même si Limoges est une grande ville, elle n'a rien à voir avec Paris !;A1
Ici, tout est immense, il y a du monde partout, les gens sont pressés,... c'est impressionnant !;A1
Pourquoi as-tu quitté Limoges ?;A1
Mon père a eu une mutation pour venir travailler à Paris.;A1
C'est une chance pour lui : il va gagner un peu plus d'argent.;A1
C'est chouette !;A1
Ne t'inquiète pas, tu vas vite t'habituer à ta nouvelle vie.;A1
Il y a beaucoup de choses à faire à Paris, crois-moi...;A1
Oui, je me doute.;A1
J'imagine que les week-ends doivent être bien remplis !;A1
Entre les magasins, les restaurants, les musées, les parcs, les piscines, les bowlings, les cinémas, les terrains de sport,...;A1
Les activités ne manquent pas !;A1
C'est ce que j'ai cru comprendre...;A1
On pourra se faire un cinéma ou un bowling à l'occasion si tu veux ?;A1
OK, pas de problème.;A1
C'est sympa de ta part.;A1
Alors on se tient au courant pour samedi prochain ?;A1
Je connais un cinéma génial qui propose des films en avant-première le samedi après-midi.;A1
Et on ira manger une gaufre juste après, ça te dit ?;A1
J'ai hâte !;A1
Je m’appelle Hugo et j’ai seize ans.;A1
Aujourd’hui, avec mes parents et ma sœur nous partons en voyage.;A1
Ma sœur s’appelle Laura, elle a treize ans.;A1
Nous sommes à l’aéroport : direction Barcelone en Espagne !;A1
Moi, je veux aller au zoo et à l’aquarium… et manger des glaces.;A1
Ma sœur préfère aller à la plage pour lire et bronzer.;A1
J’espère qu’il y aura beaucoup de soleil.;A1
Je n’aime pas la pluie, surtout pendant les vacances.;A1
Le rouge est une couleur vive.;A1
C’est la couleur de nombreux fruits et légumes, comme les tomates, les fraises ou les cerises.;A1
Le jaune est la couleur des bananes, du maïs ou des poussins par exemple.;A1
Le bleu est très présent dans la nature : c’est la couleur du ciel et de la mer.;A1
Le rouge, le jaune et le bleu sont les trois couleurs primaires.;A1
En les mélangeant, on peut former d’autres couleurs.;A1
Le vert par exemple, est la couleur de l’herbe et des feuilles des arbres.;A1
L’orange est la couleur de certains fruits, comme l’orange qui porte son nom, la clémentine ou l’abricot.;A1
Le violet se retrouve chez de nombreuses fleurs comme le lilas.;A1
Le brun, aussi appelé marron, est la couleur du café, de la terre et de l’écorce des arbres.;A1
Enfin, on trouve aussi le blanc, comme la neige, et le noir, comme la nuit.;A1
Entre les deux, il y a le gris : c’est un mélange de blanc et de noir.;A1
L’automne débute fin septembre.;A1
Le temps devient de plus en plus frais, il commence à y avoir de la pluie et du vent.;A1
C’est le moment de sortir son manteau et son parapluie !;A1
Vient ensuite l’hiver, la saison la plus froide qui commence fin décembre.;A1
Le paysage devient tout blanc à cause de la neige et de la glace.;A1
Cette période marque l’arrivée de Noël et des fêtes de fin d’année.;A1
Avec le printemps, qui commence en mars, le soleil est de retour et le temps se réchauffe.;A1
La nature redevient verte : l’herbe et les fleurs poussent à nouveau.;A1
Il est agréable de se promener pour observer les papillons, les abeilles et écouter le chant des oiseaux.;A1
Enfin, l’été arrive à la fin du mois de juin.;A1
C’est aussi le moment idéal pour profiter de l’eau et aller nager à la mer ou à la piscine.;A1
Je suis bien arrivée à Londres pour ma dernière année d’études de marketing à l’université.;A1
Là-bas tout le monde parle anglais !;A1
Londres est différent de Paris.;A1
Par exemple, les bus sont rouges et certaines stations de métro semblent très anciennes.;A1
Je partage un appartement avec deux autres étudiantes.;A1
L’une s’appelle Jennifer et elle a 21 ans et l’autre s’appelle Ashley et elle a 22 ans.;A1
Elles sont sympathiques.;A1
Je m’appelle Marie.;A1
Ma famille se compose de quatre personnes.;A1
Mon mari et moi avons deux enfants, une fille de sept ans et un garçon de trois ans.;A1
Nous avons également des animaux : un chat, un chien, deux lapins et des poissons rouges.;A1
Nous vivons dans une jolie maison avec un grand jardin.;A1
Notre quartier est calme et paisible.;A1
Je suis secrétaire et je m’occupe de mes deux enfants quand ils rentrent de l’école.;A1
Mon mari est professeur d’anglais dans une école qui se trouve à 20 kilomètres de la maison.;A1
Nous jouons dans le jardin quand il fait beau ou dans la maison quand il pleut.;A1
Les grands-parents de nos enfants aiment passer du temps avec nous lors des vacances.;A1
Les enfants aiment faire du vélo avec leur grand-père après l’école.;A1
Ma fille fait parfois des gâteaux avec sa grand-mère le samedi après-midi.;A1
