sentence,difficulty,tokenized,wordnb,cognate,cognatenb,cognateratio,punctuation,token_nb,tokenratio
C'est pour quand ?,A1,[],4,[],0,0.0,1,0,0.0
Je pense que c'est bon.,A1,['bon'],6,[],0,0.0,1,1,0.16666666666666666
C'est pas mal.,A1,['mal'],4,['mal'],1,0.25,1,1,0.25
Qu'est-ce que vous faites ?,A1,['faire'],6,['faire'],1,0.16666666666666666,2,1,0.16666666666666666
C'est bien !,A1,[],3,[],0,0.0,0,0,0.0
Ce n'est pas juste.,A1,[],5,[],0,0.0,1,0,0.0
Je ne veux pas.,A1,['vouloir'],4,['vouloir'],1,0.25,1,1,0.25
Je ne sais pas.,A1,['savoir'],4,['savoir'],1,0.25,1,1,0.25
Plus que ça.,A1,[],3,[],0,0.0,1,0,0.0
"Non, je ne le trouve pas !",A1,['trouve'],6,[],0,0.0,1,1,0.16666666666666666
Qu'est-ce que ça veut dire ?,A1,['vouloir'],7,['vouloir'],1,0.14285714285714285,2,1,0.14285714285714285
C'est déjà ça.,A1,['déjà'],4,[],0,0.0,1,1,0.25
Je m'en vais.,A1,['vai'],4,['vai'],1,0.25,1,1,0.25
Je ne comprends pas.,A1,['comprendre'],4,[],0,0.0,1,1,0.25
Je ne te crois pas.,A1,['croire'],5,['croire'],1,0.2,1,1,0.2
Je ne me sens pas bien.,A1,['sens'],6,['sens'],1,0.16666666666666666,1,1,0.16666666666666666
Tu ne comprends pas.,A1,['comprendre'],4,[],0,0.0,1,1,0.25
C'est pour la photo !,A1,['photo'],5,['photo'],1,0.2,0,1,0.2
"Je suis désolée, elle n'est pas là.",A1,['désoler'],8,[],0,0.0,2,1,0.125
Je n'ai pas bien compris.,A1,[],6,[],0,0.0,1,0,0.0
Je suis d'accord.,A1,['accord'],4,[],0,0.0,1,1,0.25
Ce n'est pas important.,A1,['important'],5,[],0,0.0,1,1,0.2
Et toi ?,A1,[],2,[],0,0.0,1,0,0.0
Mais il y a un problème .,A1,['problème'],6,['problème'],1,0.16666666666666666,1,1,0.16666666666666666
Est-ce que ça suffit?,A1,[],5,[],0,0.0,2,0,0.0
Il n'a pas de veste,A1,['veste'],6,['veste'],1,0.16666666666666666,0,1,0.16666666666666666
Va-t'en !,A1,[],3,[],0,0.0,1,0,0.0
Qu'est-ce que tu regardes ?,A1,['regarde'],6,['regarde'],1,0.16666666666666666,2,1,0.16666666666666666
Pourquoi il ne parle pas ?,A1,[],5,[],0,0.0,1,0,0.0
C'est fini.,A1,['finir'],3,['finir'],1,0.3333333333333333,1,1,0.3333333333333333
Est-ce qu'il y a du pain?,A1,['pain'],8,[],0,0.0,2,1,0.125
"C'est ici, Monsieur.",A1,"['ici', 'monsieur']",4,"['ici', 'monsieur']",2,0.5,2,2,0.5
Qu'est-ce qu'ils font ?,A1,['faire'],6,['faire'],1,0.16666666666666666,2,1,0.16666666666666666
Qu'est ce que vous faites dans le parc?,A1,"['faire', 'parc']",9,"['faire', 'parc']",2,0.2222222222222222,1,2,0.2222222222222222
Ne m'attends pas.,A1,['attendre'],4,[],0,0.0,1,1,0.25
Y a-t-il de la place pour moi avec vous ?,A1,['place'],11,[],0,0.0,3,1,0.09090909090909091
Pas de fête avec vous ce soir,A1,"['fête', 'soir']",7,['soir'],1,0.14285714285714285,0,2,0.2857142857142857
Ça ne marche pas.,A1,['marche'],4,[],0,0.0,1,1,0.25
Je reste à la maison,A1,['maison'],5,[],0,0.0,0,1,0.2
Est-ce qu'il y a des devoirs?,A1,['devoir'],8,[],0,0.0,2,1,0.125
Il est gros.,A1,['gros'],3,[],0,0.0,1,1,0.3333333333333333
Je suis désolé,A1,['désolé'],3,[],0,0.0,0,1,0.3333333333333333
S'il vous plaît.,A1,['plaire'],4,['plaire'],1,0.25,1,1,0.25
J'ai mal à la tête.,A1,"['mal', 'tête']",6,['mal'],1,0.16666666666666666,1,2,0.3333333333333333
Je n'ai pas de voiture et je n'aime pas beaucoup prendre le métro,A1,"['voiture', 'aime', 'prendre', 'métro']",15,"['aime', 'prendre']",2,0.13333333333333333,0,4,0.26666666666666666
Où est-ce que vous allez Madame ?,A1,"['aller', 'monsieur']",7,"['aller', 'monsieur']",2,0.2857142857142857,2,2,0.2857142857142857
Non.,A1,[],1,[],0,0.0,1,0,0.0
Oui c'est pour combien de personnes ?,A1,['oui'],7,[],0,0.0,1,1,0.14285714285714285
"Et chez vous, comment va la vie ?",A1,"['aller', 'vie']",7,"['aller', 'vie']",2,0.2857142857142857,2,2,0.2857142857142857
Il ne vient pas à la fête ce soir,A1,"['venir', 'fête', 'soir']",9,"['venir', 'soir']",2,0.2222222222222222,0,3,0.3333333333333333
Je me sens bien.,A1,['sentir'],4,['sentir'],1,0.25,1,1,0.25
J'ai une question.,A1,['question'],4,['question'],1,0.25,1,1,0.25
Tu n'as pas de stylo ?,A1,['stylo'],6,['stylo'],1,0.16666666666666666,1,1,0.16666666666666666
D'où viens-tu ?,A1,['vien'],4,['vien'],1,0.25,2,1,0.25
Il a mal à la tête à cause de la musique.,A1,"['mal', 'tête', 'cause', 'musique']",11,"['mal', 'cause', 'musique']",3,0.2727272727272727,1,4,0.36363636363636365
Tu viens d'où ?,A1,['vien'],4,['vien'],1,0.25,1,1,0.25
C'est facile !,A1,['facile'],3,[],0,0.0,0,1,0.3333333333333333
Il est l'heure de déjeuner !,A1,"['heure', 'déjeuner']",6,['heure'],1,0.16666666666666666,0,2,0.3333333333333333
Il est peut-être chez moi.,A1,['pouvoir'],6,[],0,0.0,2,1,0.16666666666666666
As-tu besoin de quelque chose?,A1,"['besoin', 'chose']",6,[],0,0.0,2,2,0.3333333333333333
"Ici, c'est mon bureau.",A1,"['ici', 'bureau']",5,"['ici', 'bureau']",2,0.4,2,2,0.4
"Moi, je ne vais jamais chez elle.",A1,"['aller', 'jamais']",7,['aller'],1,0.14285714285714285,2,2,0.2857142857142857
Comment ça va ?,A1,['aller'],3,['aller'],1,0.3333333333333333,1,1,0.3333333333333333
J'ai un frère et une soeur.,A1,"['frère', 'soeur']",7,['soeur'],1,0.14285714285714285,1,2,0.2857142857142857
Qu'est-ce que tu penses de cette peinture ?,A1,['peinture'],9,[],0,0.0,2,1,0.1111111111111111
Qu'est-ce qu'il a ton petit chat ?,A1,"['petit', 'chat']",9,['chat'],1,0.1111111111111111,2,2,0.2222222222222222
Qu'en pensez-vous ?,A1,['pensez'],4,['pensez'],1,0.25,2,1,0.25
Elle ne travaille pas,A1,['travaille'],4,[],0,0.0,0,1,0.25
Je n'aime pas le pain.,A1,"['aime', 'pain']",6,['aime'],1,0.16666666666666666,1,2,0.3333333333333333
"Oui, ça va, merci.",A1,"['oui', 'aller']",4,['aller'],1,0.25,3,2,0.5
Qu'est-ce que vous faites le samedi et le dimanche ?,A1,"['faire', 'samedi', 'dimanche']",11,"['faire', 'dimanche']",2,0.18181818181818182,2,3,0.2727272727272727
J'ai une soeur,A1,['soeur'],4,['soeur'],1,0.25,0,1,0.25
Elle est petite.,A1,['petit'],3,[],0,0.0,1,1,0.3333333333333333
C'est une chance pour lui : il va gagner un peu plus d'argent.,A1,"['chance', 'aller', 'gagner', 'argent']",14,"['chance', 'aller']",2,0.14285714285714285,1,4,0.2857142857142857
Qu'est-ce que tu fais pour les vacances cette année,A1,"['fai', 'vacance', 'année']",11,"['fai', 'vacance']",2,0.18181818181818182,1,3,0.2727272727272727
Je suis désolée.,A1,['désoler'],3,[],0,0.0,1,1,0.3333333333333333
Qu'est-ce que tu vas faire l'année prochaine,A1,"['taire', 'aller', 'faire', 'année', 'prochain']",10,"['taire', 'aller', 'faire']",3,0.3,1,5,0.5
Je reste avec toi.,A1,[],4,[],0,0.0,1,0,0.0
C'est loin de Paris ça !,A1,"['loin', 'paris']",6,"['loin', 'paris']",2,0.3333333333333333,0,2,0.3333333333333333
Ce qui est faux.,A1,['faux'],4,[],0,0.0,1,1,0.25
Elle pense à lui.,A1,[],4,[],0,0.0,1,0,0.0
"C'est là, au bout de la rue.",A1,"['bout', 'rue']",8,['bout'],1,0.125,2,2,0.25
Ne pas le casser.,A1,['casser'],4,['casser'],1,0.25,1,1,0.25
La réponse est oui.,A1,"['réponse', 'oui']",4,[],0,0.0,1,2,0.5
C'est quoi le plat du jour s'il vous plaît ?,A1,"['plat', 'jour', 'plaire']",11,"['plat', 'jour', 'plaire']",3,0.2727272727272727,1,3,0.2727272727272727
Je suis dans ma chambre.,A1,['chambre'],5,[],0,0.0,1,1,0.2
Comment allez-vous ?,A1,['aller'],3,['aller'],1,0.3333333333333333,2,1,0.3333333333333333
Je vais à la gare.,A1,"['aller', 'gare']",5,"['aller', 'gare']",2,0.4,1,2,0.4
Qu'est-ce que vous avez comme tartes ?,A1,['tarte'],8,['tarte'],1,0.125,2,1,0.125
Bien sûr que tu vas y aller.,A1,"['sûr', 'taire', 'aller']",7,"['taire', 'aller']",2,0.2857142857142857,1,3,0.42857142857142855
"Tout va bien, merci.",A1,['aller'],4,['aller'],1,0.25,2,1,0.25
Je suis nouveau ici.,A1,['ici'],4,['ici'],1,0.25,1,1,0.25
C'est clair.,A1,['clair'],3,['clair'],1,0.3333333333333333,1,1,0.3333333333333333
"Il y a beaucoup de choses à faire à Paris, crois-moi.",A1,"['chose', 'faire', 'paris', 'croi']",12,"['faire', 'paris', 'croi']",3,0.25,3,4,0.3333333333333333
Je n'aime pas cette photo.,A1,"['aime', 'photo']",6,"['aime', 'photo']",2,0.3333333333333333,1,2,0.3333333333333333
Je ne trouve pas le livre que tu cherches.,A1,"['trouve', 'livre', 'cherches']",9,[],0,0.0,1,3,0.3333333333333333
"Mais aujourd'hui, il a un peu peur.",A1,['peur'],8,[],0,0.0,2,1,0.125
Est-ce que ton mari est aussi de Boston?,A1,"['mari', 'boston']",9,['boston'],1,0.1111111111111111,2,2,0.2222222222222222
Je ne comprends pas ta question.,A1,"['comprendre', 'question']",6,['question'],1,0.16666666666666666,1,2,0.3333333333333333
